Rhizobium kunmingense
Rhizobium phenanthrenilyticum
Rhizobium qilianshanense
Rhodanobacter xiangquanii
Rhodopseudomonas boonkerdii
Rhodoplanes cryptolactis
Rhodopseudomonas cryptolactis
Rickettsia heilongjiangii
Rickettsia hulinii
Rickettsia monacensis
Rickettsia mongolotimonae
Rickettsia monteiroi
Rickettsia thailandii
Roseomonas baikalica
Roseomonas musae
Roseospira thiosulfatophila
Rubidimonas crustatorum
Rubrimonas shengliensis
Rufibacter tibetensis
Saccharomonospora oceani
Saccharopolyspora dendranthemae
Saccharopolyspora endophytica
Saccharopolyspora pathumthaniensis
Saccharothrix yanglingensis
Salegentibacter echinorum
Salinarchaeum laminariae
Salinicoccus kekensis
Salinicoccus salitudinis
Salinicola peritrichatus
Salinicola zeshunii
Salinispora pacifica
Sarraceniospora aurea
Schleiferella asaccharolytica
Schleiferella harei
Schleiferella indolica
Schleiferella lacrimalis
Scopulibacillus darangshiensis
Sedimentibacter hongkongensis
Seminibacterium arietis
Serpulina canis
Shewanella massilia
Sideroxydans paludicola
Sinorhizobium chiapanecum
Sneathia amnii
Sphingomonas elodea
Sphingomonas ginsengisoli
Sphingomonas ginsenosidivorax
Sphingomonas humi
Sphingomonas hunanensis
Sphingomonas rosea
Sphingomonas swuensis
Sphingopyxis granuli
Spirillum kriegii
Spirillum winogradskii
Spirosymplokos deltaeiberi
Spongiimonas flava
Spongitalea numazuensis
Sporotalea colonica
Staphylococcus pettenkoferi
Staphylococcus pseudolugdunensis
Stappia carboxidovorans
Stappia conradae
Stappia kahanamokuae
Stappia meyerae
Stenotrophomonas panacihumi
Stomatostreptococcus microhalophilus
Streptacidiphilus durhamensis
Streptococcus fryi
Streptococcus tigurinus
Streptomyces auranticolor
Streptomyces araujoniae
Streptomyces cervinus
Streptomyces coeruleoaurantiacus
Streptomyces dimorphogenes
Streptomyces erythrochromogenes
Streptomyces gilvospiralis
Streptomyces glebosus
Streptomyces helvoviolaceus
Streptomyces idiomorphus
Streptomyces kavutarensis
Streptomyces levoris
Streptomyces manipurensis
Streptomyces nanchangensis
Streptomyces nanningensis
Streptomyces neopeptinius
Streptomyces oceani
Streptomyces olivovariabilis
Streptomyces ossamyceticus
Streptomyces pratensis
Streptomyces qinlingensis
Streptomyces rubellomurinus
Streptomyces sandaensis
Streptomyces sudanensis
Streptomyces tokashikiensis
Streptomyces tokunonensis
Streptomyces unzenensis
Streptoverticillium acido-carbonicum
Sufflavibacter maritimus
Sulfolobus tengchongensis
Sulfurospirillum carboxydovorans
Syntrophomonas saponavida
Tahibacter aquaticus
Taxeobacter chitinovorans
Taxeobacter gelupurpurascens
Taxeobacter ocellatus
Tenacibaculum caenipelagi
Tenacibaculum halocynthiae
Tenuibacillus halotolerans
Tepidanaerobacter acetatoxydans
Tepidimonas arfidensis
Teredinobacter turnerae
Terrabacter ginsenosidimutans
Tessaracoccus profundi
Tetracoccus cechii
Thalassobacter utilis
Thalassospira permensis
Thermalkalibacillus uzonensis
Thermanaerothrix daxensis
Thermoanaerobacter keratinophilus
Themoanaerobacterium calidifontis
Thermobaculum terrenum
Thermococcus marinus
Thermococcus radiotolerans
Thermodesulfobacterium geofontis
Thermogladius shockii
Thermopirellula anaerolimosa
Thermoplasma thiooxidans
Thermotomaculum hydrothermale
Thermus kawarayensis
Thermus rehai
Thermus yunnanensis
Thiobacillus plumbophilus
Thiobacillus prosperus
Thiobacillus sajanensis
Thiocapsa bogorovii
Thiocapsa imhoffii
Thiofractor thiocaminus
Thiomonas arsenivorans
Thiorhodococcus drewsii
Titanospirillum velox
Treponema carateum
Treponema phagedenis
Treponema refringens
Treponema scoliodontum
Treponema vincentii
Treponema zioleckii
Tropicibacter litoreus
Tropicibacter mediterraneus
Turneria parva
Tunicatimonas pelagia
Vibrio inhibens
Vibrio neocaledonicus
Vibrio pommerensis
Vibrio qinghaiensis
Vibrio zhanjiangensis
Vibrio zhuhaiensis
Virgibacillus natechei
Virgibacillus zhanjiangensis
Wangella harbinensis
Wangia profunda
Winogradskyella jejuensis
Xanthobacter polyaromaticivorans
Xanthomonas lactamgena
Zooshikella rubidus
