"","db","query","superkingdom"
"286","ncbi","WCHB1-32",NA
"287","ncbi","WDS1C4",NA
"288","ncbi","XBB1006",NA
"289","ncbi","XY-R5",NA
"290","ncbi","XZXXH163",NA
"291","ncbi","YB-42",NA
"292","ncbi","YT-3",NA
"293","ncbi","Z114MB74",NA
"294","ncbi","Z195MB87",NA
"295","ncbi","Z20",NA
"296","ncbi","Z-35",NA
"297","ncbi","ZOR0006",NA
