51909,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
348797,Candidatus Liberibacter,Candidatus Liberibacter africanus
317744,Candidatus Liberibacter,Candidatus Liberibacter africanus
326249,Candidatus Liberibacter,Candidatus Liberibacter africanus
686362,Candidatus Aquiluna,Candidatus Aquiluna rubra
1122723,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1131086,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1135491,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1138695,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4310982,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1121428,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4430735,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1125278,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4430733,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4398829,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1124267,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4312869,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1132893,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4438802,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1124974,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1127313,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1140302,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1122894,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1127689,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1123687,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1137750,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1133530,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4310981,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1125082,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4438803,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1139700,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1133699,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1141407,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4438801,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
1124467,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4430732,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
4467888,Candidatus Nitrososphaera,Candidatus Nitrososphaera SCA1145
107261,Candidatus Portiera,Candidatus Portiera aleyrodidarum
107113,Candidatus Portiera,Candidatus Portiera aleyrodidarum
103272,Candidatus Portiera,Candidatus Portiera aleyrodidarum
103559,Candidatus Portiera,Candidatus Portiera aleyrodidarum
8116,Candidatus Portiera,Candidatus Portiera aleyrodidarum
45833,Candidatus Portiera,Candidatus Portiera aleyrodidarum
334190,Candidatus Aquiluna,Candidatus Aquiluna rubra
303928,Candidatus Aquiluna,Candidatus Aquiluna rubra
4401774,Candidatus Aquiluna,Candidatus Aquiluna rubra
4179516,Candidatus Aquiluna,Candidatus Aquiluna rubra
4179520,Candidatus Aquiluna,Candidatus Aquiluna rubra
