Kitasatosporia	phosalacinea		35:535	orthographically incorrect name	Takahashi et al. 1985	nom. corrig.	1		777143	781936
Kitasatosporia	setae		33:672; 35:221*	orthographically incorrect name	Omura et al. 1983	nom. corrig.	1		777144	777133
Klebsiella	mobilis		30:309 (AL)	species (AL), illegitimate name, homotypic syn.	Bascomb et al. 1971	illegitimacy: IJSEM 67:502-4*	2, ht	ATCC 13048	784051	777146
Lactobacillus	rossii		55:39*	orthographically incorrect name	Corsetti et al. 2005		1		784068	777385
Legionella	bozemanii		30:676	orthographically incorrect name	Brenner et al. 1980		2		784085	776305
Megamonas	hypermegas		33:438	orthographically incorrect name	(Harrison and Hansen 1963) Shah and Collins 1983	nom. corrig. IJSB 48:1073*	1		784191	777743
Melisococcus			33:672	orthographically incorrect name	Bailey and Collins 1983	should read MELISSOCOCCUS in Validation List No. 11			517274	517275
Melisococcus	plutonis		33:672	orthographically incorrect name	(ex White 1912) Bailey and Collins 1983	should read Melissococcus pluton in Validation List No. 11	1		784192	784194
Methanobacterium	thermoaggregans		38:221	orthographically incorrect name	Blotevogel and Fischer 1988		1		777806	777803
Methanobacterium	thermoalcaliphilum		38:220	orthographically incorrect name	Blotevogel et al. 1988		1		777807	777945
Methanobacterium	thermoautotrophicum		30:318 (AL)	orthographically incorrect name	Zeikus and Wolfe 1972		1		777809	777945
Methanoculleus	bourgense		40:121*	orthographically incorrect name	(Ollivier et al. 1986) Maestrojuán et al. 1990	nom. corrig. IJSB 48:1073*	1		784212	777866
Methanoculleus	thermophilicus		40:121*	orthographically incorrect name	(Rivard and Smith 1982) Maestrojuán et al. 1990		1		784213	777875
Methanohalobium	evestigatus		38:136	orthographically incorrect name	Zhilina and Zavarzin 1988	nom. corrig. IJSB 48:1073*	1		784215	777893
Methanohalophilus	oregonense		40:115*	orthographically incorrect name	Liu et al. 1990		1		784216	777905
Methanomicrococcus			50:1998*	orthographically incorrect name	Sprenger et al. 2000				517277	517063
Methanomicrococcus	blatticola		50:1998*	orthographically incorrect name	Sprenger et al. 2000		1		784217	777785
Methanosaeta	thermophila		42:465*	comb. nov. (VP), rejected name	(Kamagata et al. 1992) Boone and Kamagata 1998	The name has been placed on the Lists of Rejected Names (<i>nomina rejicienda</i>). Supplementary information to Opinion 75, Judicial Commission of the International Committee on Systematics of Prokaryotes, IJSEM 64:3597-3598*)	1	PT, DSM 6194, NBRC 101360	787452	777956
Methanosarcina	methanica		30:318 (AL)	species (AL), rejected name	(Smit 1930) Kluyver and van Niel 1936	rejected name, <i>nomen dubium et confusum</i> Opinion IJSB 36:492*, see also IJSB 36:357*	1	not cultivated	784218	784218
Methanospirillum	hungatii		30:318 (AL)	orthographically incorrect name	Ferry et al. 1974		1	ATCC 27890	777942	777941
Methanothermobacter	wolfei		50:51*	orthographically incorrect name	(Winter et al. 1985) Wasserfallen et al. 2000		1		784219	777948
Methanothrix	thermophila		42:465*	sp. nov. (VP), rejected name, homotypic syn.	Kamagata et al. 1992	The name has been placed on the Lists of Rejected Names (<i>nomina rejicienda</i>). Supplementary information to Opinion 75, Judicial Commission of the International Committee on Systematics of Prokaryotes, IJSEM 64:3597-3598*)	1	DSM 6194, PT	777957	777956
Methylothermus	subterraneus		61:2652*	sp. nov. (VP), illegitimate name	Hirayama et al. 2011	name is illegitimate as the genus <i>Methylothermus</i> Tsubota et al. 2005 is illegitimate	1	HTM55, DSM 19750, JCM 13664	789549	
Methylothermus	thermalis		55:1883*	sp. nov. (VP), illegitimate name	Tsubota et al. 2005	illegitimate name as the strain is not freely available	1	IPOD FERM P-19714, MYHT, VKM B-2345	784259	
Micromonas			50:1415	gen. nov. (VL), illegitimate name	Murdoch and Shah 2000				516091	517468
Micromonas	micros		50:1415	comb. nov. (VL), illegitimate name, homotypic syn.	(Prévot 1933) Murdoch and Shah 2000		2, ht	ATCC 33270, DSM 20468, GIFU 7824, NCTC 11808, VPI 5464	778154	785693
Microsphaera			46:524*	gen. nov. (VP), illegitimate name	Yoshimi et al. 1996				516097	516149
Microsphaera	multipartita		46:524*	sp. nov. (VP), illegitimate name	Yoshimi et al.1996		1	DSM 44233, JCM 9543, Y-104	778237	778575
Mitsuokella	multiacidus		33:438	orthographically incorrect name	(Mitsuoka et al. 1974) Shah and Collins 1983	nom. corrig. IJSB 48:1073*	2		784271	778274
Mycoplasma	haemosuis		52:683*	nom. nov. (VP), illegitimate name	Neimark et al. 2002		2, t	no culture isolated	784381	784441
Mycoplasma	phocacerebrale		41:43*	orthographically incorrect name	Giebel et al. 1991		2, t		784420	784423
Mycoplasma	phocarhinis		41:43*	orthographically incorrect name	Giebel et al. 1991		2, t		784422	784425
Natrialba	aegyptiaca		51:1140*	orthographically incorrect name	Hezayen et al. 2001		1		784451	778583
Nocardia	sulphurea		38:220	sp. nov. (VL), illegitimate name, heterotypic syn.	Goodfellow and Lechevalier 1988	"Error in Validition List No 25; the name ""Nocardia sulphurea"" Oliver and Sinclair 1964 has been published in a patent and is therefore not effectively published"	1	ATCC 27624	778790	773228
Nocardioides	fastidiosa		39:371	orthographically incorrect name	Collins and Stackebrandt 1989	nom. corrig. IJSB 48:1073*	1		784501	772886
Nocardiopsis	compostus		52:627*	orthographically incorrect name	Kämpfer et al. 2002		1		784507	778851
Nonomuraea	dietzii		51:1439*	orthographically incorrect name	Stackebrandt et al. 2001		1		784510	778889
Nonomuria			48:419*	orthographically incorrect name	Zhang et al. 1998	nom. corrig.			516186	516185
Nonomuria	africana		48:419*	orthographically incorrect name	(Preobrazhenskaya and Sveshnikova 1974) Zhang et al. 1998	nom. corrig.	1		784511	778885
Nonomuria	angiospora		48:419*	orthographically incorrect name	(Zhukova et al. 1968) Zhang et al. 1998	nom. corrig.	1		784512	778886
Nonomuria	fastidiosa		48:419*	orthographically incorrect name	(Soina et al. 1975) Zhang et al. 1998	nom. corrig.	1		784513	778890
Nonomuria	ferruginea		48:419*	orthographically incorrect name	(Meyer 1981) Zhang et al. 1998	nom. corrig.	1		784514	778891
Nonomuria	flexuosa		48:420*	orthographically incorrect name	(Meyer 1989) Zhang et al. 1998	nom. corrig.	1		778910	782623
Nonomuria	helvata		48:419*	orthographically incorrect name	(Nonomura and Ohara 1971) Zhang et al. 1998	nom. corrig.	1		784515	778893
Nonomuria	polychroma		48:419*	orthographically incorrect name	(Galatenko et al. 1987) Zhang et al. 1998	nom. corrig.	1		784516	778897
Nonomuria	pusilla		48:419*	orthographically incorrect name	(Nonomura and Ohara 1971) Zhang et al. 1998	nom. corrig.	1		784517	778898
Nonomuria	recticatena		48:419*	orthographically incorrect name	(Terekhova et al. 1987) Zhang et al. 1998	nom. corrig.	1		784518	778899
Nonomuria	roseola		48:420*	orthographically incorrect name	(Lavrova and Preobrazhenskaya 1975) Zhang et al. 1998	nom. corrig.	1		784519	778900
Nonomuria	roseoviolacea		48:420*	orthographically incorrect name	(Nonomura and Ohara 1971) Zhang et al. 1998	nom. corrig.	1		784520	787818
Nonomuria	rubra		48:420*	orthographically incorrect name	(Sveshnikova et al. 1969) Zhang et al. 1998	nom. corrig.	1		784521	778904
Nonomuria	salmonea		48:420*	orthographically incorrect name	(Preobrazhenskaya et al. 1975) Zhang et al. 1998	nom. corrig.	1		784522	778905
Nonomuria	spiralis		48:420*	orthographically incorrect name	(Meyer 1981) Zhang et al. 1998	nom. corrig.	1		784523	778907
Nonomuria	turkmeniaca		48:420*	orthographically incorrect name	(Terekhova et al. 1987) Zhang et al. 1998	nom. corrig.	1		784524	778909
Novosphingobium	aromaticivorum		51:1415*	orthographically incorrect name	(Balkwill et al. 1997) Takeuchi et al. 2001		1		784525	778912
